,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1
59264,2.0,1.0,104.0,60.0,-0.5378035780493747
59265,3.0,1.0,42.0,42.0,-1.243618416347977
59266,2.0,1.0,45.0,42.0,-1.412567080478542
59267,4.0,3.0,187.0,109.0,2.9343141049336277
59268,2.0,1.0,85.0,45.0,-0.9279878122757034
59269,2.0,1.0,42.0,39.0,-1.7928696870844987
59270,1.0,1.0,35.0,35.0,-2.2575551750380103
59271,3.0,2.0,102.9,98.0,0.6428140419918653
59272,2.0,1.0,50.0,50.0,-1.4509273924173307
59273,4.0,3.0,76.0,70.0,0.8360300030631775
59274,2.0,1.0,44.0,39.0,-1.3468661820860806
59275,2.0,1.0,39.0,37.0,-1.6231264305207496
59276,4.0,2.0,112.0,112.0,1.5624991977099376
59277,2.0,1.0,31.0,31.0,-1.9436655332562705
59278,2.0,1.0,35.0,35.0,-1.7789992670819537
59279,5.0,3.0,235.0,235.0,5.014469493180325
59280,2.0,1.0,44.0,37.0,-1.6146360797392605
59281,2.0,1.0,45.0,39.0,-1.530183825736123
59282,2.0,1.0,45.5,36.0,-1.6857494247833378
59283,4.0,3.0,59.0,58.0,0.5638225847109066
59284,2.0,1.0,54.0,46.0,-1.3961425478525613
59285,2.0,1.0,60.0,50.0,-0.9916048670587372
59286,3.0,2.0,124.0,86.0,0.7958203936066511
59287,1.0,1.0,43.0,39.0,-1.974496648735156
59288,5.0,4.0,216.0,216.0,5.063489212443427
59289,3.0,2.0,100.0,87.0,1.4756830566944168
59290,2.0,1.0,45.0,42.0,-1.4984440457100445
59291,2.0,1.0,60.0,60.0,-0.7376823809331972
59292,3.0,2.0,53.0,50.0,-0.5047183222308865
59293,2.0,1.0,50.0,39.0,-1.6372389425926657
59294,3.0,2.0,59.0,51.0,-0.4019017249695999
59295,5.0,4.0,150.0,132.0,3.7918824626238408
59296,1.0,1.0,43.0,41.0,-1.9504103144471212
59297,4.0,3.0,140.0,140.0,4.148882400012853
59298,3.0,2.0,54.0,50.0,-0.4125973592117582
59299,2.0,1.0,45.0,38.0,-1.4029559145051511
59300,3.0,2.0,52.0,52.0,-0.4215492539936009
59301,4.0,3.0,129.0,129.0,2.355044464148525
59302,2.0,1.0,50.0,46.0,-1.3227350446521253
59303,2.0,1.0,74.0,68.0,-0.4962332840174917
59304,5.0,4.0,220.0,198.0,6.36732905296636
59305,3.0,2.0,96.0,72.3,0.739363155574667
59306,4.0,3.0,92.0,87.0,1.7290178967698933
59307,2.0,1.0,67.0,52.0,-1.0434826261859578
59308,1.0,1.0,34.0,30.0,-2.229853861978169
59309,2.0,1.0,53.0,46.0,-1.387378217987689
59310,1.0,1.0,41.0,38.0,-1.9952168644953734
59311,2.0,1.0,49.0,44.0,-1.5116278360152624
59312,2.0,1.0,50.0,42.0,-1.399821806722379
59313,2.0,1.0,32.0,32.0,-1.9575945994071409
59314,3.0,1.0,74.4,56.0,-0.5263023838041216
59315,2.0,1.0,44.6,39.0,-1.6821785454250373
59316,2.0,1.0,40.0,37.0,-1.5162857585681202
59317,2.0,1.0,52.0,40.0,-1.4716155170308673
59318,4.0,3.0,180.0,105.0,2.5155011033685684
59319,2.0,1.0,57.0,45.0,-1.033290708899206
59320,3.0,2.0,140.0,140.0,1.85264516157868
59321,1.0,1.0,17.0,17.0,-2.6998741685587393
59322,3.0,2.0,52.0,49.0,-0.44036214648306793
59323,3.0,2.0,75.0,68.0,0.16947497018217986
59324,4.0,3.0,86.0,76.0,1.6463403382647543
59325,2.0,1.0,45.0,45.0,-1.5318454108401638
59326,2.0,1.0,49.0,44.0,-1.0580342219154872
59327,3.0,2.0,76.0,76.0,0.33428990027868694
59328,2.0,1.0,50.0,45.0,-1.2578071307515322
59329,2.0,1.0,45.0,39.0,-1.6141320721380492
59330,5.0,4.0,215.0,155.0,4.737733951695091
59331,1.0,1.0,36.0,32.0,-2.1168178365961374
59332,2.0,1.0,55.0,48.0,-1.2698526206455218
59333,4.0,3.0,109.0,74.0,1.7716024563718649
59334,4.0,3.0,99.0,70.0,1.3555551193722752
59335,3.0,2.0,180.0,160.0,3.7060789159416125
59336,1.0,1.0,33.0,32.0,-2.3485611021743047
59337,4.0,3.0,86.2,66.0,1.0843413295285216
59338,4.0,3.0,103.0,103.0,1.7792995525162043
59339,2.0,1.0,55.0,48.0,-1.168553980942214
59340,4.0,3.0,68.0,57.0,0.7580445237110659
59341,5.0,2.0,140.0,130.0,3.2026581221462536
59342,4.0,3.0,117.0,110.0,2.534443046759627
59343,1.0,1.0,34.0,30.0,-2.160405229708554
59344,4.0,2.0,122.0,104.0,1.742168382802183
59345,2.0,1.0,26.0,26.0,-2.1136988380698707
