,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1,tiene_cochera,tiene_parrilla,tiene_pileta,tiene_terraza,expensas
40800,4.0,3.0,177.0,174.0,3.490943773187781,0,0,0,1,Con expensas
40801,3.0,2.0,53.0,52.0,-0.4216767277560989,0,0,0,0,Bajas expensas
40802,2.0,1.0,69.0,55.0,-0.8231035764098643,1,1,0,0,
40803,4.0,3.0,124.0,106.0,2.135244062757409,0,1,0,1,Sin expensas
40804,2.0,1.0,52.0,46.0,-1.3925621539003503,0,0,0,0,Sin expensas
40805,4.0,3.0,217.0,77.0,2.161304743496265,0,0,0,1,
40806,2.0,1.0,68.0,68.0,-0.6492644687965657,0,1,1,1,Con expensas
40807,1.0,1.0,57.0,45.0,-1.840197619008058,0,0,0,0,Con expensas
40808,1.0,1.0,49.0,40.0,-1.8244453595958527,0,1,0,1,Con expensas
40809,1.0,1.0,118.0,96.0,0.0643684188678828,1,0,0,1,Con expensas
40810,1.0,1.0,28.0,28.0,-2.412220598969869,0,0,0,0,Con expensas
40811,3.0,2.0,82.0,48.0,-0.1388488609313387,0,0,0,1,Sin expensas
40812,2.0,1.0,39.0,38.0,-1.6669337359327852,1,0,0,0,Con expensas
40813,3.0,2.0,86.0,72.0,0.395874788629015,0,0,0,0,
40814,3.0,2.0,177.4,129.0,2.817520516203839,1,0,0,0,Con expensas
